Date,High,Low,Open,Close,Volume,Adj Close
2020-06-01,13741.62890625,12767.5615234375,13806.6533203125,12873.8603515625,52870709560.0,12873.8603515625
2020-06-02,13066.3798828125,12789.3603515625,12879.205078125,13031.103515625,33745915782.0,13031.103515625
2020-06-03,13332.8896484375,12865.560546875,13029.9384765625,13233.3291015625,35000969142.0,13233.3291015625
2020-06-04,13301.3330078125,12960.1708984375,13232.7607421875,12972.7880859375,31553918280.0,12972.7880859375
2020-06-05,13117.607421875,12872.78515625,12971.9453125,12956.87890625,27431833128.0,12956.87890625
2020-06-06,13094.59375,12700.59375,12955.9716796875,13071.93359375,33507803432.0,13071.93359375
2020-06-07,13109.1708984375,12955.6337890625,13073.5556640625,13063.2109375,28724451794.0,13063.2109375
2020-06-08,13147.802734375,13023.35546875,13067.048828125,13147.34765625,31833021280.0,13147.34765625
2020-06-09,13276.4345703125,13036.7275390625,13145.2265625,13253.5234375,34518676148.0,13253.5234375
2020-06-10,13333.48828125,12614.494140625,13253.501953125,12711.013671875,41244460346.0,12711.013671875
2020-06-11,12932.8828125,12671.9189453125,12709.5263671875,12883.56640625,30725609173.0,12883.56640625
